#ZSL DACT CNTD CNTP DPROB PPROB
GREETING QUESTION 44 15 0.7457627118644068 0.2542372881355932
GREETING INFORM 42 50 0.45652173913043476 0.5434782608695652
AGREEMENT INFORM 122 169 0.41924398625429554 0.5807560137457045
AGREEMENT QUESTION 57 8 0.8769230769230769 0.12307692307692308
AGREEMENT DIRECTIVE 103 10 0.911504424778761 0.08849557522123894
RESULTS INFORM 40 95 0.2962962962962963 0.7037037037037037
RESULTS QUESTION 70 10 0.875 0.125
RESULTS DIRECTIVE 34 3 0.918918918918919 0.08108108108108109
VITALS INFORM 9 16 0.36 0.64
VITALS QUESTION 26 4 0.8666666666666667 0.13333333333333333
VITALS DIRECTIVE 7 3 0.7 0.3
COURSE INFORM 113 298 0.2749391727493917 0.7250608272506083
COURSE DIRECTIVE 19 4 0.8260869565217391 0.17391304347826086
COURSE QUESTION 21 5 0.8076923076923077 0.19230769230769232
DENIAL INFORM 12 135 0.08163265306122448 0.9183673469387755
DENIAL DIRECTIVE 1 2 0.3333333333333333 0.6666666666666666
DENIAL QUESTION 1 2 0.3333333333333333 0.6666666666666666
EXAMINATION INFORM 10 5 0.6666666666666666 0.3333333333333333
EXAMINATION QUESTION 25 4 0.8620689655172413 0.13793103448275862
EXAMINATION DIRECTIVE 53 2 0.9636363636363636 0.03636363636363636
MEDICATION INFORM 9 30 0.23076923076923078 0.7692307692307693
MEDICATION DIRECTIVE 29 12 0.7073170731707317 0.2926829268292683
MEDICATION QUESTION 35 4 0.8974358974358975 0.10256410256410256
PAST INFORM 32 164 0.16326530612244897 0.8367346938775511
PAST QUESTION 48 4 0.9230769230769231 0.07692307692307693
PAST DIRECTIVE 12 1 0.9230769230769231 0.07692307692307693
COMPLAINT INFORM 38 177 0.17674418604651163 0.8232558139534883
COMPLAINT DIRECTIVE 15 9 0.625 0.375
COMPLAINT QUESTION 108 28 0.7941176470588235 0.20588235294117646
IMAGING INFORM 36 70 0.33962264150943394 0.660377358490566
IMAGING DIRECTIVE 10 8 0.5555555555555556 0.4444444444444444
IMAGING QUESTION 42 20 0.6774193548387096 0.3225806451612903
PHYSICAL INFORM 19 61 0.2375 0.7625
PHYSICAL DIRECTIVE 33 10 0.7674418604651163 0.23255813953488372
PHYSICAL QUESTION 32 3 0.9142857142857143 0.08571428571428572
ILLNESS INFORM 14 55 0.2028985507246377 0.7971014492753623
ILLNESS QUESTION 39 12 0.7647058823529411 0.23529411764705882
ILLNESS DIRECTIVE 10 1 0.9090909090909091 0.09090909090909091
BODY INFORM 5 31 0.1388888888888889 0.8611111111111112
BODY QUESTION 35 6 0.8536585365853658 0.14634146341463414
BODY DIRECTIVE 12 2 0.8571428571428571 0.14285714285714285
GYNIC INFORM 8 17 0.32 0.68
GYNIC QUESTION 33 5 0.868421052631579 0.13157894736842105
GYNIC DIRECTIVE 11 2 0.8461538461538461 0.15384615384615385
REVIEW INFORM 15 19 0.4411764705882353 0.5588235294117647
REVIEW QUESTION 55 7 0.8870967741935484 0.11290322580645161
REVIEW DIRECTIVE 12 3 0.8 0.2
MEASUREMENT INFORM 2 3 0.4 0.6
IMMUNIZATIONS INFORM 3 8 0.2727272727272727 0.7272727272727273
IMMUNIZATIONS DIRECTIVE 2 3 0.4 0.6
TREATMENT INFORM 2 13 0.13333333333333333 0.8666666666666667
TREATMENT DIRECTIVE 7 3 0.7 0.3
TREATMENT QUESTION 5 1 0.8333333333333334 0.16666666666666666
CONDITION INFORM 7 16 0.30434782608695654 0.6956521739130435
CONDITION QUESTION 14 3 0.8235294117647058 0.17647058823529413
ALLERGY INFORM 2 7 0.2222222222222222 0.7777777777777778
ALLERGY DIRECTIVE 1 1 0.5 0.5
HISTORY INFORM 3 4 0.42857142857142855 0.5714285714285714
HISTORY QUESTION 9 2 0.8181818181818182 0.18181818181818182
SURGICAL INFORM 8 17 0.32 0.68
SURGICAL QUESTION 4 2 0.6666666666666666 0.3333333333333333
DIAGNOSIS QUESTION 10 3 0.7692307692307693 0.23076923076923078
DIAGNOSIS INFORM 6 3 0.6666666666666666 0.3333333333333333
FAMILY INFORM 10 21 0.3225806451612903 0.6774193548387096
FAMILY DIRECTIVE 1 1 0.5 0.5
FAMILY QUESTION 20 3 0.8695652173913043 0.13043478260869565
PROCEDURES INFORM 6 4 0.6 0.4
PROCEDURES DIRECTIVE 6 1 0.8571428571428571 0.14285714285714285
PROCEDURES QUESTION 5 1 0.8333333333333334 0.16666666666666666
IMPRESSION INFORM 15 30 0.3333333333333333 0.6666666666666666
PLAN INFORM 8 16 0.3333333333333333 0.6666666666666666
PLAN DIRECTIVE 12 2 0.8571428571428571 0.14285714285714285
PLAN QUESTION 6 2 0.75 0.25
SOCIAL INFORM 1 14 0.06666666666666667 0.9333333333333333
SOCIAL QUESTION 7 2 0.7777777777777778 0.2222222222222222
INSTRUCTION QUESTION 13 1 0.9285714285714286 0.07142857142857142
INSTRUCTION INFORM 4 4 0.5 0.5
INSTRUCTION DIRECTIVE 23 1 0.9583333333333334 0.041666666666666664
ASSESSMENT QUESTION 60 1 0.9836065573770492 0.01639344262295082
ASSESSMENT INFORM 1 5 0.16666666666666666 0.8333333333333334
ASSESSMENT DIRECTIVE 15 2 0.8823529411764706 0.11764705882352941
LABS INFORM 1 1 0.5 0.5
